year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
2013,YR2013,Papua New Guinea,PNG,21261432791,4.671883198,,,3.824946328,1.066371766,,,,,,,,,1.954742833,1.703979854,4.272116357
2013,YR2013,Philippines,PHL,283902728261,2.933106417,1.973608627,5.702213815,6.750531301,4.964801336,4.940148027,7.521897801,5.723264365,18.44277045,11.83820678,5.819003213,4.048855912,7.006536078,6.815500954,4.578187412,7.571176825
2013,YR2013,Samoa,WSM,797728653.3,2.567644134,,,0.1072932765,-0.801457579,,,,,,,,,-4.535752218,-2.166839322,0.5825258179
2013,YR2013,Singapore,SGP,307576360585,3.549382716,6.1398429,,4.817630991,3.133979149,11.73007465,,,,6.1589019,2.815295194,1.163806227,6.512569072,1.80003331,1.671276416,6.642221509
2013,YR2013,Solomon Islands,SLB,1285917750,-5.04782878,-5.168926684,9.99233358,5.237740178,2.599048838,27.34842688,10.89459219,8.114063083,-3.295927176,-2.637614679,2.950256663,0.3689208209,0.6183413411,-7.161270041,-1.163366337,17.21410022
2013,YR2013,Thailand,THA,420333203150,0.7025457562,2.514337741,1.117442249,2.687495563,2.065308706,1.542139466,,,,-1.011483564,0.9540785032,0.3423944762,1.680637041,1.557447891,1.879692548,3.958780073
2013,YR2013,Timor-Leste,TLS,1395519568,-5.206864841,-24.1024182,-5.283309354,3.10288057,0.9833135366,-15.7859532,-10.73408566,-12.56919529,-21.57907461,-21.27983555,6.817711832,4.62177609,-27.06992853,41.07076851,0.1424478444,1.250380015
2013,YR2013,Tonga,TON,450643615.2,3.950600984,13.85637962,4.322914278,0.3123079093,0.699172883,2.378065597,-0.139653533,0.2454684038,-35.02273807,-36.11602938,4.796357845,5.200516029,2.414227559,-14.81020163,1.889860326,3.469317087
2013,YR2013,Tuvalu,TUV,38617493.72,,,,4.347826087,3.736151708,,,,,,,,,,,
2013,YR2013,Vanuatu,VUT,758304466.2,1.374016867,3.892505887,3.153947457,0.4633904151,-1.908154629,2.220450922,6.496179347,3.982223912,16.3971984,17.03266911,3.381548627,0.9411173582,6.456712062,8.390748031,-5.996573387,-0.8866063672
