year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1969,YR1969,India,IND,58447995017,6.427516144,-1.93800431,4.262054785,6.539700299,4.218131001,9.450936203,6.561092471,4.239057023,11.03877599,0.06814707173,3.714121501,1.454123401,-13.03513508,7.293740607,10.72898066,4.961139341
1969,YR1969,Maldives,MDV,,,,,,,,,,,,,,,,,
1969,YR1969,Nepal,NPL,788641965.4,3.001527377,,,4.463421603,2.230458804,,,,,,,,,,,5.071273848
1969,YR1969,Pakistan,PAK,8683116338,4.5164815,9.059728258,,5.507899634,2.668720146,1.348978058,,,-17.77795769,-7.079445552,,,-16.38733823,11.97467904,8.626719471,5.623293901
1969,YR1969,Sri Lanka,LKA,1965546218,1.315919529,-0.5828627538,8.31648641,7.716819662,5.27110393,0.2937471997,8.690246673,6.222429233,14.15316542,34.43347404,9.815699213,7.322328318,7.101410045,10.29090699,10.2383541,4.252621562
1970,YR1970,Afghanistan,AFG,1748886596,,,,,,,,,,,,,,,,
1970,YR1970,Bangladesh,BGD,8992721809,5.422769301,10.48184611,9.929563604,5.619852293,3.00061464,9.929564254,,,-7.077978781,,8.741124446,6.044483224,11.86173729,0.7376723134,3.548308018,-1.111667137
1970,YR1970,Bhutan,BTN,,,,,,,,,,,,,,,,,
1970,YR1970,India,IND,62422483055,7.092165396,31.55781635,4.007100761,5.157229737,2.85855823,9.491132192,5.182202393,2.882984999,-0.1655263547,-5.546659969,3.39596815,1.135796723,17.91495982,0.348007685,2.348734489,4.728129205
1970,YR1970,Maldives,MDV,,,,,,,,,,,,,,,,,
1970,YR1970,Nepal,NPL,865975308.6,3.461199363,,,2.575992127,0.3654113254,,,,,,,,,,,4.734579488
1970,YR1970,Pakistan,PAK,10027509450,9.548701873,15.83699874,,11.35346172,8.322102222,15.71276424,,,17.8113786,13.65454548,,,47.99268859,15.2481156,11.33290404,7.029634728
1970,YR1970,Sri Lanka,LKA,2296470588,4.088839006,4.288099811,-2.434606631,3.846629857,1.594426125,3.677165654,-1.348184885,-3.487724573,22.1670186,3.853028155,-3.477685625,-5.571041152,-5.91354485,9.297109778,9.035677375,1.630760222
1971,YR1971,Afghanistan,AFG,1831108971,,,,,,,,,,,,,,,,
1971,YR1971,Bangladesh,BGD,8751842840,-4.508098223,-27.61810098,-1.509207587,-5.479483027,-6.632846648,-1.509208431,,,-24.08474399,,-3.519349252,-4.696630929,-21.60488051,-19.63835617,-16.2839037,-6.793181954
1971,YR1971,Bhutan,BTN,,,,,,,,,,,,,,,,,
1971,YR1971,India,IND,67350988021,-1.877366736,1.052037206,2.774979774,1.642930375,-0.5857058944,9.801784576,1.668315447,-0.5608774195,8.36132865,10.3970657,1.945761708,-0.2895144815,18.02848349,2.509951253,3.267570905,3.877233891
